variable,type,data_set
ReqID,object,observations
CanID,object,observations
text,object,observations
Language,object,observations
Edu,object,observations
Course,object,observations
Work,object,observations
Summaries,object,observations
Skill,object,observations
Member,object,observations
Writing,object,observations
Researching,object,observations
Honor,object,observations
Activity,object,observations
Curriculars,object,observations
Hobby,object,observations
email,object,observations
phone,object,observations
GPA,object,observations
years_experience,object,observations
mos_experience,int64,observations
certifications,object,observations
honor_societies,object,observations
latin_honors,object,observations
scholarships_awards,object,observations
community_college,object,observations
major_minor,object,observations
other_universities,object,observations
top_100_universities,object,observations
top_10_universities,object,observations
associate_education_level,object,observations
bachelor_education_level,object,observations
doctor_education_level,object,observations
master_education_level,object,observations
courses,object,observations
languages,object,observations
hobbies,object,observations
technical_skills,object,observations
company_consumer,object,observations
company_energychem,object,observations
company_fin,object,observations
company_foodbev,object,observations
company_health,object,observations
company_industrial,object,observations
company_other,object,observations
company_services,object,observations
company_tech,object,observations
