Source,Target,Amount
Not Reviewed Not Considered,Neutral,49939
Position Cancelled,Neutral,6335
Hiring Restrictions/Policy,Neutral,2142
Voluntary Withdrew,Positive,428
Selected other more qualified candidate,Negative,16102
Basic Qualifications,Negative,15556
"Completion, Offers, Background Check",Positive,1609
Hired For Another Job,Neutral,923
Review,Positive,8166
Skills or Abilities,Positive,3634
Salary Expectations too high,Positive,2224
Interview (various stages),Positive,451
Positive,Relevant,16512
Neutral,Not Relevant,59339
Negative,Not Relevant,31658
