Source,Target,Amount
Not Reviewed Not Considered,Neutral,"49,939"
Selected other more qualified candidate,Negative,"16,102"
Basic Qualifications,Negative,"15,556"
Review,Positive,"8,166"
Position Cancelled,Neutral,"6,335"
Skills or Abilities,Positive,"3,634"
Salary Expectations too high,Positive,"2,224"
Completion,Positive,"1,526"
Hiring Restrictions,Neutral,"1,311"
Hired For Another Job,Neutral,923
Hiring Policy,Neutral,831
Voluntary Withdrew,Positive,428
Phone Screen,Positive,336
Schedule Interview,Positive,94
Offer Rejected,Positive,70
No Show (Interview / First Day),Positive,14
Offer,Positive,9
Second Round Interview,Positive,6
Background Check,Positive,2
Revise Offer,Positive,2
Final Round Interview,Positive,1
Positive,Relevant,16512
Negative,Not Relevant,31658
Neutral,Not Relevant,59339
